numero,descripcion,codigo,cantidad,modelos,observaciones,archivo_origen
16,"Arandela","24M7044",2,"6615","13 X 20 X 2 mm","ST350804.md"
17,"Tuerca con brida","14M7296",2,"6615","M10","ST350804.md"
18,"Abrazadera","DQ65077",1,"6615","","ST350804.md"
19,"Tornillo","19M8049",1,"6615","M10 X 80","ST350804.md"
20,"Arandela","24M7040",1,"6615","11 X 20 X 2 mm","ST350804.md"
21,"Tornillo","19M7166",1,"6615","M10 X 20","ST350804.md"
22,"Apoyo","CQ61691",1,"6615","","ST350804.md"
23,"Tornillo","19M7073",1,"6615","M12 X 50","ST350804.md"
24,"Arandela","24M7038",2,"6615","13.500 X 24 X 2.500 mm","ST350804.md"
25,"Abrazadera","T70659",1,"6615","","ST350804.md"
26,"Tuerca","14M7031",1,"6615","M12","ST350804.md"
27,"Ángulo","CQ30648",1,"6615","","ST350804.md"
28,"Tornillo","19M7496",1,"6615","M12 X 45, (SUB FOR 19M7387)","ST350804.md"
29,"Arandela","24M7038",1,"6615","13.500 X 24 X 2.500 mm","ST350804.md"
30,"Apoyo","CQ64800",1,"6615","","ST350804.md"
31,"Perfil estructural","CQ27763",1,"6615","","ST350804.md"
32,"Manguera","CQ27514",2,"6615","","ST350804.md"
33,"Abrazadera","DQ10173",2,"6615","","ST350804.md"
34,"Abrazadera","AL212940",2,"6615","SUB FOR AL82025","ST350804.md"
35,"Arandela","24M7047",2,"6615","13 X 24 X 2.500 mm","ST350804.md"
1,"Protección","DQ63159",1,"6615","","ST350805.md"
2,"Tornillo","19M7487",2,"6615","M20 X 50","ST350805.md"
3,"Arandela","24M7051",2,"6615","21 X 37 X 3 mm","ST350805.md"
4,"Arandela de seguridad","12M7070",2,"6615","20 mm","ST350805.md"
5,"Tuerca","14M7144",2,"6615","M20","ST350805.md"
6,"Tornillo","19M7403",3,"6615","M12 X 35","ST350805.md"
7,"Arandela","24M3763",7,"6615","13 X 25 X 3 mm","ST350805.md"
8,"Arandela de seguridad","12M7067",12,"6615","12 mm","ST350805.md"
9,"Soporte","DQ63696",1,"6615","","ST350805.md"
10,"Soporte","DQ63698",1,"6615","","ST350805.md"
11,"Soporte","DQ61639",1,"6615","","ST350805.md"
12,"Protección","DQ62047",1,"6615","","ST350805.md"
13,"Tornillo","19M7285",1,"6615","M12 X 30","ST350805.md"
14,"Tornillo","19M7496",1,"6615","M12 X 45, (SUB FOR 19M7387)","ST350805.md"
15,"Tuerca","14M7275",3,"6615","M12, SUB FOR 14M7295","ST350805.md"
16,"Arandela","24M7038",3,"6615","13.500 X 24 X 2.500 mm","ST350805.md"
1,"Tornillo hueco","CQ29143",2,"6415","","ST350807.md"
2,"Arandela","S17072",4,"6415","","ST350807.md"
3,"Manguera","CQ55032",1,"6415","CTL 900 mm, MF MN11040","ST350807.md"
4,"Manguera","MN11040",1,"N/A","","ST350807.md"
5,"Abrazadera","SG06401",6,"6415","","ST350807.md"
6,"Manguera","CQ55027",1,"6415","CTL 550 mm; SUB FOR CQ55029","ST350807.md"
7,"Conexión de manguera","CQ08038",2,"6415","","ST350807.md"
8,"Manguera","CQ55027",1,"6415","LGTH = 200 mm","ST350807.md"
9,"Manguera","CQ29167",1,"6415","CTL 200 mm, MF MN11040","ST350807.md"
10,"Manguera","MN11040",1,"N/A","","ST350807.md"
11,"Protección de manguera","AL158889",1,"6415","","ST350807.md"
12,"Presilla","AH78125",1,"6415","","ST350807.md"
13,"Arandela","24M7055",1,"6415","8.400 X 16 X 1.600 mm","ST350807.md"
14,"Tornillo","19M7865",1,"6415","M8 X 16","ST350807.md"
15,"Tuerca","14M7029",1,"6415","M8","ST350807.md"
1,"Tornillo hueco","CQ29143",2,"6615","","ST350808.md"
2,"Arandela","S17072",4,"6615","","ST350808.md"
3,"Manguera","CQ55032",1,"6615","CTL 900 mm, MF MN11040","ST350808.md"
4,"Manguera","MN11040",1,"N/A","","ST350808.md"
5,"Abrazadera","SG06401",6,"6615","","ST350808.md"
6,"Manguera","CQ55027",1,"6615","CTL 1650 mm; SUB FOR CQ55030","ST350808.md"
7,"Conexión de manguera","CQ08038",2,"6615","","ST350808.md"
8,"Manguera","CQ55027",1,"6615","CTL 800 mm; SUB FOR CQ63428","ST350808.md"
9,"Manguera","CQ29167",1,"6615","","ST350808.md"
10,"Presilla","AH78125",2,"6615","","ST350808.md"
11,"Arandela","24M7055",1,"6615","8.400 X 16 X 1.600 mm","ST350808.md"
12,"Tornillo","19M7162",2,"6615","M8 X 16","ST350808.md"
13,"Tuerca","14M7029",1,"6615","M8","ST350808.md"
1,"Vástago","AL163686",1,"6415","","ST350809.md"
2,"Vástago","AL163687",1,"6615","","ST350809.md"
3,"Eslabón giratorio","T22242",1,"6415, 6615","","ST350809.md"
4,"Pasador de aletas","11M7009",1,"6415, 6615","2 X 16 mm","ST350809.md"
5,"Tuerca","14M7272",3,"6415, 6615","M6","ST350809.md"
6,"Cabeza de articul. esférica","56M7009",1,"6415, 6615","","ST350809.md"
7,"Arandela","24M7088",4,"6415, 6615","6.600 X 12 X 1.600 mm","ST350809.md"
1,"Filtro de aire","AL156263",1,"6415, 6615","","ST350811.md"
2,"Manguera","L158246",1,"6415, 6615","LGTH= 730MM","ST350811.md"
3,"Casquillo","L151661",1,"6415, 6615","","ST350811.md"
4,"Manocontacto","AL150289",1,"6415, 6615","","ST350811.md"
5,"Deflector","AL150287",1,"6415, 6615","","ST350811.md"
6,"Filtro de aire","AL172780",1,"6415, 6615","","ST350811.md"
7,"Filtro de aire","AL150288",1,"6415, 6615","","ST350811.md"
8,"Mango","L151979",1,"6415, 6615","","ST350811.md"
9,"Cabeza de filtro","AL150286",1,"6415, 6615","","ST350811.md"
10,"Abrazadera","L154742",2,"6415, 6615","","ST350811.md"
11,"Manguera","L168846",3,"6415, 6615","","ST350811.md"
1,"Alimentador de mies","DQ51588",1,"6415","(SIN CABINA)","ST350814.md"
2,"Silenciador","AL153067",1,"6415","(CON CABINA)","ST350814.md"
3,"Tornillo","19M8819",1,"6415","M8 X 35","ST350814.md"
4,"Cinta","AL117063",1,"6415","","ST350814.md"
5,"Tornillo","L113409",1,"6415","M8 X 70","ST350814.md"
6,"Soporte","AL117064",1,"6415","","ST350814.md"
7,"Tornillo","19M7167",1,"6415","(SIN CABINA) M10 X 25","ST350814.md"
8,"Tornillo","19M7402",1,"6415","(CON CABINA) M10 X 25","ST350814.md"
9,"Arandela","24M7213",1,"6415","10.500 X 25 X 4 mm","ST350814.md"
10,"Soporte","L114822",1,"6415","","ST350814.md"
