nombre,stock,categoria,ubicacion,codigo,descripcion
"Abrazadera",1,"Abrazadera","6615","DQ65077",""
"Tornillo",1,"Tornillo","6615","19M8049","M10 X 80"
"Arandela",1,"Arandela","6615","24M7040","11 X 20 X 2 mm"
"Tornillo",1,"Tornillo","6615","19M7166","M10 X 20"
"Apoyo",1,"Apoyo","6615","CQ61691",""
"Tornillo",1,"Tornillo","6615","19M7073","M12 X 50"
"Arandela",2,"Arandela","6615","24M7038","13.500 X 24 X 2.500 mm"
"Abrazadera",1,"Abrazadera","6615","T70659",""
"Tuerca",1,"Tuerca","6615","14M7031","M12"
"Ángulo",1,"Componente","6615","CQ30648",""
"Tornillo",1,"Tornillo","6615","19M7496","M12 X 45, (SUB FOR 19M7387)"
"Arandela",1,"Arandela","6615","24M7038","13.500 X 24 X 2.500 mm"
"Apoyo",1,"Apoyo","6615","CQ64800",""
"Perfil estructural",1,"Componente","6615","CQ27763",""
"Manguera",2,"Manguera","6615","CQ27514",""
"Abrazadera",2,"Abrazadera","6615","DQ10173",""
"Abrazadera",2,"Abrazadera","6615","AL212940","SUB FOR AL82025"
"Arandela",2,"Arandela","6615","24M7047","13 X 24 X 2.500 mm"
"Protección",1,"Componente","6615","DQ63159",""
"Tornillo",2,"Tornillo","6615","19M7487","M20 X 50"
"Arandela",2,"Arandela","6615","24M7051","21 X 37 X 3 mm"
"Arandela de seguridad",2,"Arandela","6615","12M7070","20 mm"
"Tuerca",2,"Tuerca","6615","14M7144","M20"
"Tornillo",3,"Tornillo","6615","19M7403","M12 X 35"
"Arandela",7,"Arandela","6615","24M3763","13 X 25 X 3 mm"
"Arandela de seguridad",12,"Arandela","6615","12M7067","12 mm"
"Soporte",1,"Soporte","6615","DQ63696",""
"Soporte",1,"Soporte","6615","DQ63698",""
"Soporte",1,"Soporte","6615","DQ61639",""
"Protección",1,"Componente","6615","DQ62047",""
"Tornillo",1,"Tornillo","6615","19M7285","M12 X 30"
"Tornillo",1,"Tornillo","6615","19M7496","M12 X 45, (SUB FOR 19M7387)"
"Tuerca",3,"Tuerca","6615","14M7275","M12, SUB FOR 14M7295"
"Arandela",3,"Arandela","6615","24M7038","13.500 X 24 X 2.500 mm"
"Tornillo hueco",2,"Tornillo","6415","CQ29143",""
"Arandela",4,"Arandela","6415","S17072",""
"Manguera",1,"Manguera","6415","CQ55032","CTL 900 mm, MF MN11040"
"Manguera",1,"Manguera","","MN11040",""
"Abrazadera",6,"Abrazadera","6415","SG06401",""
"Manguera",1,"Manguera","6415","CQ55027","CTL 550 mm; SUB FOR CQ55029"
"Conexión de manguera",2,"Manguera","6415","CQ08038",""
"Manguera",1,"Manguera","6415","CQ55027","LGTH = 200 mm"
"Manguera",1,"Manguera","6415","CQ29167","CTL 200 mm, MF MN11040"
"Manguera",1,"Manguera","","MN11040",""
"Protección de manguera",1,"Manguera","6415","AL158889",""
"Presilla",1,"Componente","6415","AH78125",""
"Arandela",1,"Arandela","6415","24M7055","8.400 X 16 X 1.600 mm"
"Tornillo",1,"Tornillo","6415","19M7865","M8 X 16"
